eventdate,hotelid,nationality,client_nationality,total_requests,total_availability,availability_percentage,orders,gb,conversion_rate_percentage,net_revenue_over_gb_perc,fee_over_gb_perc
"noviembre 23, 2025","290,564",MY,,9,6,0.67,0,0,0,0,0
"noviembre 25, 2025","330,061",GT,,894,747,0.84,0,0,0,0,0
"noviembre 14, 2025","290,966",ID,,11,10,0.91,0,0,0,0,0
"noviembre 3, 2025","291,359",HR,,4,2,0.5,0,0,0,0,0
"noviembre 12, 2025","290,997",MA,,4,3,0.75,0,0,0,0,0
"noviembre 9, 2025","351,212",SI,,15,10,0.67,0,0,0,0,0
"noviembre 19, 2025","290,564",SI,,27,15,0.56,0,0,0,0,0
"noviembre 13, 2025","351,212",VE,,15,12,0.8,0,0,0,0,0
"noviembre 12, 2025","290,966",N/A,,"76,617","62,632",0.82,0,0,0,0,0
"noviembre 2, 2025","290,997",PY,,1,1,1,0,0,0,0,0
"noviembre 22, 2025","351,212",IT,,518,473,0.91,0,0,0,0,0
"noviembre 6, 2025","290,997",DE,,"2,128","1,419",0.67,0,0,0,0,0
"noviembre 4, 2025","291,359",SI,,3,0,0,0,0,0,0,0
"noviembre 6, 2025","351,212",SA,,11,10,0.91,0,0,0,0,0
"noviembre 18, 2025","351,212",MA,,4,4,1,0,0,0,0,0
"noviembre 16, 2025","351,212",AT,,41,34,0.83,0,0,0,0,0
"noviembre 20, 2025","290,997",HR,,7,3,0.43,0,0,0,0,0
"noviembre 19, 2025","291,359",HU,,8,4,0.5,0,0,0,0,0
"noviembre 7, 2025","351,212",CH,,83,62,0.75,0,0,0,0,0
"noviembre 19, 2025","290,997",AE,,304,219,0.72,0,0,0,0,0
"noviembre 17, 2025","291,359",MU,,1,1,1,0,0,0,0,0
"noviembre 8, 2025","291,359",PT,,377,290,0.77,0,0,0,0,0
"noviembre 17, 2025","291,359",PT,,500,419,0.84,0,0,0,0,0
"noviembre 9, 2025","290,564",LU,,3,3,1,0,0,0,0,0
"noviembre 16, 2025","290,564",FI,,63,40,0.63,0,0,0,0,0
"noviembre 24, 2025","290,564",GF,,17,0,0,0,0,0,0,0
"noviembre 23, 2025","330,061",HR,,8,0,0,0,0,0,0,0
"noviembre 22, 2025","290,997",LV,,9,6,0.67,0,0,0,0,0
"noviembre 13, 2025","291,359",PK,,16,16,1,0,0,0,0,0
"noviembre 11, 2025","290,966",do,,1,0,0,0,0,0,0,0
"noviembre 11, 2025","291,359",CY,,6,2,0.33,0,0,0,0,0
"noviembre 19, 2025","290,997",ME,,251,160,0.64,0,0,0,0,0
"noviembre 9, 2025","290,997",UZ,,2,2,1,0,0,0,0,0
"noviembre 12, 2025","330,061",SG,,15,14,0.93,0,0,0,0,0
"noviembre 20, 2025","330,061",EG,,4,4,1,0,0,0,0,0
"noviembre 26, 2025","290,564",RS,,11,11,1,0,0,0,0,0
"noviembre 16, 2025","291,359",CW,,6,6,1,0,0,0,0,0
"noviembre 19, 2025","291,359",BE,,51,40,0.78,0,0,0,0,0
"noviembre 10, 2025","291,359",EC,,609,392,0.64,0,0,0,0,0
"noviembre 10, 2025","351,212",AT,,80,54,0.68,0,0,0,0,0
"noviembre 23, 2025","291,359",CU,,10,10,1,0,0,0,0,0
"noviembre 21, 2025","290,966",LU,,3,3,1,0,0,0,0,0
"noviembre 9, 2025","330,061",TR,,52,48,0.92,0,0,0,0,0
"noviembre 12, 2025","291,359",ET,,1,1,1,0,0,0,0,0
"noviembre 1, 2025","351,212",UY,,55,55,1,0,0,0,0,0
"noviembre 23, 2025","291,359",TR,,399,351,0.88,0,0,0,0,0
"noviembre 12, 2025","291,359",PR,,51,51,1,0,0,0,0,0
"noviembre 15, 2025","290,564",JO,,1,1,1,0,0,0,0,0
"noviembre 12, 2025","351,212",AE,,99,61,0.62,0,0,0,0,0
"noviembre 11, 2025","290,966",EC,,422,417,0.99,0,0,0,0,0
"noviembre 11, 2025","290,997",MQ,,7,7,1,0,0,0,0,0
"noviembre 2, 2025","290,564",KZ,,17,6,0.35,0,0,0,0,0
"noviembre 26, 2025","330,061",ES,,"58,715","27,067",0.46,0,0,0,0,0
"noviembre 16, 2025","290,564",ZA,,19,9,0.47,0,0,0,0,0
"noviembre 23, 2025","351,212",MV,,1,1,1,0,0,0,0,0
"noviembre 1, 2025","351,212",BE,,13,9,0.69,0,0,0,0,0
"noviembre 2, 2025","290,997",GE,,15,8,0.53,0,0,0,0,0
"noviembre 20, 2025","290,966",DE,,"1,577","1,284",0.81,0,0,0,0,0
"noviembre 19, 2025","351,212",GR,,49,49,1,0,0,0,0,0
"noviembre 12, 2025","351,212",KW,,6,6,1,0,0,0,0,0
"noviembre 11, 2025","290,997",MC,,3,3,1,0,0,0,0,0
"noviembre 24, 2025","291,359",MU,,2,2,1,0,0,0,0,0
"noviembre 5, 2025","290,997",TH,,"18,064","12,717",0.7,0,0,0,0,0
"noviembre 18, 2025","291,359",RS,,7,7,1,0,0,0,0,0
"noviembre 26, 2025","291,359",HK,,39,8,0.21,0,0,0,0,0
